Product,MonthlyPrice,SkuId
Microsoft 365 Business Premium,18.10,cbdc14ab-d96c-4c30-b9f4-6ada7cdc1d46
Microsoft 365 Business Standard,10.30,f245ecc8-75af-4f8e-b61f-27d8114de5f3
Microsoft 365 Business Basic,4.90,bd251394-b1ed-487b-a1aa-ee198c62c938
Microsoft 365 E5,48.10,078d10ee-6995-4851-8043-334f610f49b3
Microsoft 365 E3,31.70,47d12459-1159-4ad1-abfa-00e92056813a
Microsoft 365 Business Basic,4.90,3b555118-da6a-4418-894f-7df1e2096870
Exchange Online (Plan 2),6.60,19ec0d23-8335-4cbd-94ac-6050e30712fa
Power BI Pro,8.20,a403ebcc-fae0-4ca2-8c8c-7a907fd6c235
Microsoft 365 Copilot,24.70,639dec6b-bb19-468b-871c-c5c441c4b0cb
Office 365 E3,22.00,6fd2c87f-b296-42f0-b197-1e91e994b900
Office 365 E5,37.50,c5928f49-12ba-48f7-ada3-0d743a3dbd2b
Microsoft 365 Audio Conferencing,3.30,a403a5cc-140d-4168-bfb5-58b5e7cbf094
Microsoft Service Business,0.00,57ff2da0-73d6-437c-a4df-ab9dc44faefc
Microsoft Teams Exploratory,0.00,710779e8-3d4a-4c88-adb9-386c958d1fdf
Microsoft Power Automate Free,0.00,f30db892-07e9-47e9-837c-80727f46fd3d
Microsoft 365 Copilot,24.70,ab5128ae-2475-4d95-8c73-33f07d701bfc
Microsoft 365 F3,6.60,61346032-1554-4736-b876-7d28d697f394
Microsoft 365 F3,6.60,f7ee79a7-7aec-4ca4-9fb9-34d6b930ad87
Windows Store for Business,0.00,6470687e-a428-4b7a-bef2-8a291ad947c9
